date,from_symbol,to_symbol,fee
2020-01-02,QQQ,UVXY,0.0
2020-01-03,UVXY,QQQ,0.0
2020-01-09,QQQ,UVXY,0.0
2020-01-10,UVXY,QQQ,0.0
2020-01-13,QQQ,UVXY,0.0
2020-01-14,UVXY,QQQ,0.0
2020-01-16,QQQ,UVXY,0.0
2020-01-24,UVXY,QQQ,0.0
2020-01-27,QQQ,XLU,0.0
2020-01-28,XLU,QQQ,0.0
2020-01-31,QQQ,XLU,0.0
2020-02-04,XLU,QQQ,0.0
2020-02-19,QQQ,UVXY,0.0
2020-02-20,UVXY,QQQ,0.0
2020-02-24,QQQ,XLU,0.0
2020-02-25,XLU,TQQQ,0.0
2020-03-02,TQQQ,XLU,0.0
2020-03-03,XLU,GLD,0.0
2020-03-04,GLD,XLU,0.0
2020-03-05,XLU,GLD,0.0
2020-03-09,GLD,TQQQ,0.0
2020-03-10,TQQQ,GLD,0.0
2020-03-12,GLD,TQQQ,0.0
2020-03-13,TQQQ,GLD,0.0
2020-03-16,GLD,TQQQ,0.0
2020-03-17,TQQQ,GLD,0.0
2020-04-08,GLD,QQQ,0.0
2020-06-10,QQQ,UVXY,0.0
2020-06-11,UVXY,QQQ,0.0
2020-06-26,QQQ,XLU,0.0
2020-06-30,XLU,QQQ,0.0
2020-08-26,QQQ,UVXY,0.0
2020-08-27,UVXY,QQQ,0.0
2020-08-31,QQQ,UVXY,0.0
2020-09-03,UVXY,QQQ,0.0
2020-09-08,QQQ,XLU,0.0
2020-09-09,XLU,QQQ,0.0
2020-09-10,QQQ,XLU,0.0
2020-09-15,XLU,QQQ,0.0
2020-09-16,QQQ,XLU,0.0
2020-10-05,XLU,QQQ,0.0
2020-10-06,QQQ,XLU,0.0
2020-10-07,XLU,QQQ,0.0
2020-10-27,QQQ,XLU,0.0
2020-11-04,XLU,QQQ,0.0
2021-01-27,QQQ,XLU,0.0
2021-01-28,XLU,QQQ,0.0
2021-01-29,QQQ,XLU,0.0
2021-02-01,XLU,QQQ,0.0
2021-02-25,QQQ,TQQQ,0.0
2021-02-26,TQQQ,XLU,0.0
2021-03-01,XLU,QQQ,0.0
2021-03-03,QQQ,XLU,0.0
2021-03-04,XLU,TQQQ,0.0
2021-03-05,TQQQ,XLU,0.0
2021-03-08,XLU,TQQQ,0.0
2021-03-09,TQQQ,QQQ,0.0
2021-03-24,QQQ,XLU,0.0
2021-03-25,XLU,QQQ,0.0
2021-05-12,QQQ,TQQQ,0.0
2021-05-13,TQQQ,XLU,0.0
2021-05-14,XLU,QQQ,0.0
2021-05-18,QQQ,XLU,0.0
2021-05-20,XLU,QQQ,0.0
2021-05-21,QQQ,XLU,0.0
2021-05-24,XLU,QQQ,0.0
2021-06-18,QQQ,XLU,0.0
2021-06-21,XLU,QQQ,0.0
2021-07-02,QQQ,UVXY,0.0
2021-07-08,UVXY,QQQ,0.0
2021-07-19,QQQ,XLU,0.0
2021-07-20,XLU,QQQ,0.0
2021-09-10,QQQ,XLU,0.0
2021-09-13,XLU,QQQ,0.0
2021-09-14,QQQ,XLU,0.0
2021-09-15,XLU,QQQ,0.0
2021-09-17,QQQ,XLU,0.0
2021-09-20,XLU,TQQQ,0.0
2021-09-22,TQQQ,XLU,0.0
2021-09-28,XLU,TQQQ,0.0
2021-10-01,TQQQ,XLU,0.0
2021-10-04,XLU,TQQQ,0.0
2021-10-05,TQQQ,XLU,0.0
2021-10-14,XLU,QQQ,0.0
2021-11-03,QQQ,UVXY,0.0
2021-11-09,UVXY,QQQ,0.0
2021-11-26,QQQ,XLU,0.0
2021-11-29,XLU,QQQ,0.0
2021-11-30,QQQ,XLU,0.0
2021-12-07,XLU,QQQ,0.0
2021-12-14,QQQ,XLU,0.0
2021-12-15,XLU,QQQ,0.0
2021-12-17,QQQ,XLU,0.0
2021-12-21,XLU,QQQ,0.0
2022-01-10,QQQ,XLU,0.0
2022-01-11,XLU,QQQ,0.0
2022-01-13,QQQ,XLU,0.0
2022-01-19,XLU,TQQQ,0.0
2022-01-28,TQQQ,XLU,0.0
2022-02-09,XLU,QQQ,0.0
2022-02-10,QQQ,XLU,0.0
2022-02-11,XLU,GLD,0.0
2022-02-15,GLD,XLU,0.0
2022-02-17,XLU,GLD,0.0
2022-02-23,GLD,TQQQ,0.0
2022-02-24,TQQQ,GLD,0.0
2022-03-17,GLD,QQQ,0.0
2022-04-11,QQQ,GLD,0.0
2022-04-13,GLD,QQQ,0.0
2022-04-14,QQQ,GLD,0.0
2022-04-19,GLD,QQQ,0.0
2022-04-21,QQQ,GLD,0.0
2022-04-26,GLD,TQQQ,0.0
2022-04-28,TQQQ,GLD,0.0
