date,equity,holding,branch,cash,shares
2026-06-15,41010.47271566888,TQQQ,bull_trend,2104.0662367870464,461
2026-06-16,38867.152624421324,TQQQ,bull_trend,2104.0662367870464,461
2026-06-17,37767.89173727533,TQQQ,bull_trend,2104.0662367870464,461
2026-06-18,40219.377554230894,TQQQ,bull_trend,2104.0662367870464,461
2026-06-22,40085.99664145013,TQQQ,bull_trend,2104.0662367870464,461
2026-06-23,36342.0774596264,TQQQ,bull_trend,2104.0662367870464,461
2026-06-24,35895.3676436474,TQQQ,bull_trend,2104.0662367870464,461
2026-06-25,36656.014829926695,TQQQ,bull_trend,2104.0662367870464,461
2026-06-26,35217.69708090326,TQQQ,bull_trend,2104.0662367870464,461
2026-06-29,37688.65736227533,TQQQ,bull_trend,2104.0662367870464,461
2026-06-30,39445.06623678705,TQQQ,bull_trend,2104.0662367870464,461
2026-07-01,37813.12581472894,TQQQ,bull_trend,2104.0662367870464,461
2026-07-02,35918.41553335687,TQQQ,bull_trend,2104.0662367870464,461
2026-07-06,37333.685392670835,TQQQ,bull_trend,2104.0662367870464,461
2026-07-07,35402.09778433343,TQQQ,bull_trend,2104.0662367870464,461
2026-07-08,35627.98679953119,TQQQ,bull_trend,2104.0662367870464,461
2026-07-09,37296.804548554624,TQQQ,bull_trend,2104.0662367870464,461
2026-07-10,37614.895674042906,TQQQ,bull_trend,2104.0662367870464,461
2026-07-13,35591.105955414976,TQQQ,bull_trend,2104.0662367870464,461
2026-07-14,36688.28468924066,TQQQ,bull_trend,2104.0662367870464,461
2026-07-15,36420.90736227533,TQQQ,bull_trend,2104.0662367870464,461
2026-07-16,34715.2052519848,TQQQ,bull_trend,2104.0662367870464,461
2026-07-17,33235.395674042906,TQQQ,bull_trend,2104.0662367870464,461
2026-07-20,33290.71694021722,TQQQ,bull_trend,2104.0662367870464,461
2026-07-21,35005.63750296136,TQQQ,bull_trend,2104.0662367870464,461
2026-07-22,34503.145674042906,TQQQ,bull_trend,2104.0662367870464,461
2026-07-23,32668.367643647398,TQQQ,bull_trend,2104.0662367870464,461
