date,action,asset,price,shares,pnl,reason
2021-01-05,SELL,TQQQ,20.521451729474183,24463.878514448097,59913.01580252126,TQQQ Confirmed-Down proxy exit
2021-01-08,BUY,TQQQ,22.311778734707413,22500.864140832502,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-01-19,SELL,TQQQ,21.613755950647178,22500.864140832502,-15706.115831345029,TQQQ 5% loss exit
2021-03-15,BUY,QQQ,305.7295988118373,1590.713454335624,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2021-03-18,SELL,QQQ,306.77523524071523,1590.713454335624,1663.3079357595998,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-03-18,BUY,TQQQ,21.34812784694379,22858.7489101178,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-03-26,SELL,TQQQ,20.183162352489326,22858.7489101178,-26629.653726685792,TQQQ 5% loss exit
2021-04-06,BUY,TQQQ,24.147371520296673,19106.089457393155,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-05-03,SELL,TQQQ,25.91030102205116,19106.089457393155,33682.688767598826,TQQQ Confirmed-Down proxy exit
2021-05-26,BUY,QQQ,323.43828770635344,1530.5687298367752,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2021-05-27,SELL,QQQ,323.44796589913267,1530.5687298367752,14.813139229256194,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-05-27,BUY,TQQQ,24.387986959902992,20299.31142527121,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-08-19,SELL,TQQQ,30.43197807873222,20299.31142527121,122688.85797268793,TQQQ Confirmed-Down proxy exit
2021-08-24,BUY,TQQQ,33.974514192652876,18182.694145507536,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-09-20,SELL,TQQQ,32.26160815716858,18182.694145507536,-31145.24654320476,TQQQ Confirmed-Down proxy exit
2021-10-14,BUY,TQQQ,30.99659104874516,18924.75701090862,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2021-12-06,SELL,TQQQ,35.875615600934815,18924.75701090862,92334.35410044645,TQQQ Confirmed-Down proxy exit
2021-12-20,BUY,QQQ,369.24804728232675,1838.702500558761,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-02-07,SELL,QQQ,348.8677710648343,1838.702500558761,-37473.26484318159,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-02-07,BUY,TQQQ,28.144935069901972,22791.45577803269,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-02-14,SELL,TQQQ,25.205129684931762,22791.45577803269,-67002.44442757091,TQQQ 5% loss exit
2022-03-10,BUY,QQQ,321.82372966537287,1785.0193930417038,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-03-23,SELL,QQQ,344.80887821456724,1785.0193930417038,41028.93591225636,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-03-23,BUY,TQQQ,25.996066627862422,23676.294699378817,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-04-12,SELL,TQQQ,23.899610478328793,23676.294699378817,-49636.313620683155,TQQQ 5% loss exit
2022-05-12,BUY,QQQ,279.9788571911552,2021.0605420784977,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-06-03,SELL,QQQ,300.99791722823267,2021.0605420784977,42480.792872516206,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-06-03,BUY,TQQQ,15.790132897196582,38526.27572664673,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-06-10,SELL,TQQQ,13.464972404443037,38526.27572664673,-89579.77425252885,TQQQ 5% loss exit
2022-06-30,BUY,TQQQ,11.463808515718636,45251.56179937662,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-07-13,SELL,TQQQ,11.358985947798722,45251.56179937662,-4743.3849101973465,TQQQ Confirmed-Down proxy exit
2022-07-28,BUY,TQQQ,14.618020230715826,35162.8911769466,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-08-29,SELL,TQQQ,13.984320594599014,35162.8911769466,-22282.711343646108,TQQQ Confirmed-Down proxy exit
2022-09-19,BUY,QQQ,279.7012541627431,1758.0512633858539,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2022-10-25,SELL,QQQ,273.16097158157777,1758.0512633858539,-11498.15205471823,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-10-25,BUY,TQQQ,10.234520858051319,46922.66475952422,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-10-28,SELL,TQQQ,9.41023213398904,46922.66475952422,-38677.82346423034,TQQQ 5% loss exit
2022-11-25,BUY,TQQQ,10.644283246795167,41482.658577825314,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-11-29,SELL,TQQQ,10.158284535691804,41482.658577825314,-20160.518601963937,TQQQ Confirmed-Down proxy exit
2022-12-02,BUY,TQQQ,10.696694949089949,39394.658923722694,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2022-12-07,SELL,TQQQ,9.796170008257906,39394.658923722694,-35475.872896383866,TQQQ 5% loss exit
2023-01-10,BUY,QQQ,264.09358467777196,1461.2879623902638,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2023-01-12,SELL,QQQ,272.55072731097135,1461.2879623902638,12358.320726111764,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-01-12,BUY,TQQQ,9.348916686463951,42601.20293262274,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-03-01,SELL,TQQQ,10.565425110347004,42601.20293262274,51824.722235086956,TQQQ Confirmed-Down proxy exit
2023-03-14,BUY,QQQ,288.4165608377867,1560.5893707624823,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2023-03-15,SELL,QQQ,288.80850340903805,1560.5893707624823,611.6614106441848,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-03-15,BUY,TQQQ,10.61811116967864,42447.42529095274,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-05-30,SELL,TQQQ,17.491708694620662,42447.42529095274,291766.5174200542,TQQQ 50% profit exit
2023-08-31,BUY,TQQQ,20.316086638415953,36546.309889329656,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-09-18,SELL,TQQQ,19.05478525382373,36546.309889329656,-46095.911265147966,TQQQ 5% loss exit
2023-10-09,BUY,TQQQ,17.754324286373574,39223.23798576461,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2023-10-23,SELL,TQQQ,16.328546608046974,39223.23798576461,-55923.61719179514,TQQQ 5% loss exit
2023-11-09,BUY,TQQQ,19.07826139552484,33570.06470827092,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-02-12,SELL,TQQQ,29.32752712174622,33570.06470827092,344068.51364151493,TQQQ 50% profit exit
2024-03-21,BUY,TQQQ,31.163855209350587,31591.950886589526,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-04-03,SELL,TQQQ,29.03738234602631,31591.950886589526,-67179.42625980603,TQQQ 5% loss exit
2024-05-03,BUY,TQQQ,27.536626736883072,33313.72305388708,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-07-11,SELL,TQQQ,41.696006988766904,33313.72305388708,471701.6723259358,TQQQ 50% profit exit
2024-08-14,BUY,QQQ,458.69948537304487,3028.233677103548,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2024-08-19,SELL,QQQ,470.23844913548015,3028.233677103548,34942.67866428406,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-08-19,BUY,TQQQ,33.70226118760427,42252.11774409815,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-09-04,SELL,TQQQ,29.95320945135569,42252.11774409815,-158405.37538869074,TQQQ 5% loss exit
2024-09-19,BUY,QQQ,477.6011982117997,2649.8814016607007,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2024-09-20,SELL,QQQ,477.4824829122334,2649.8814016607007,-314.58146441332065,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-09-20,BUY,TQQQ,34.423619486164185,36755.92427450718,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-10-24,SELL,TQQQ,36.144274124448806,36755.92427450718,63244.25158736901,TQQQ Confirmed-Down proxy exit
2024-10-28,BUY,TQQQ,37.5079327501781,35419.60607437,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-11-01,SELL,TQQQ,34.50001113059394,35419.60607437,-106539.39886825206,TQQQ 5% loss exit
2024-11-07,BUY,TQQQ,39.46234717567191,30965.639179221263,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2024-11-18,SELL,TQQQ,36.88764080291871,30965.639179221263,-79727.42853111704,TQQQ 5% loss exit
2025-01-07,BUY,TQQQ,42.339731647394586,26978.191189036264,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-01-08,SELL,TQQQ,39.791049692143034,26978.191189036264,-68758.82906882325,TQQQ 5% loss exit
2025-01-24,BUY,TQQQ,43.6782876849822,24577.212228403656,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-01-28,SELL,TQQQ,39.30700116131183,24577.212228403656,-107434.03660340747,TQQQ 5% loss exit
2025-03-24,BUY,QQQ,484.8577098068958,1992.4536416847347,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2025-03-25,SELL,QQQ,488.4861096315565,1992.4536416847347,7229.418444133364,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-03-25,BUY,TQQQ,32.83650805495043,29640.360248387336,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-03-28,SELL,TQQQ,30.486167845703232,29640.360248387336,-69664.930508357,TQQQ 5% loss exit
2025-04-21,BUY,QQQ,435.64027525418857,2074.2365866245927,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2025-05-02,SELL,QQQ,483.66474747370063,2074.2365866245927,99614.11733104836,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-05-02,BUY,TQQQ,29.04954205592708,34535.31601080097,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-07-22,SELL,TQQQ,43.78073450565615,34535.31601080097,508746.38646731863,TQQQ 50% profit exit
2025-09-05,BUY,TQQQ,46.66700158698621,32399.37107421643,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-11-13,SELL,TQQQ,54.483618361844904,32399.37107421643,253253.4674335916,TQQQ Confirmed-Down proxy exit
2025-12-03,BUY,TQQQ,54.35930393073119,32473.465278746087,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2025-12-18,SELL,TQQQ,51.38575081970205,32473.465278746087,-96561.5737055121,TQQQ 5% loss exit
2026-02-23,BUY,TQQQ,49.33464910235473,33823.55860287749,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2026-02-24,SELL,TQQQ,48.25891521645331,33823.55860287749,-36385.14813088789,TQQQ Confirmed-Down proxy exit
2026-04-13,BUY,TQQQ,48.667942504397715,33539.29019677601,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2026-05-11,SELL,TQQQ,75.82541692767967,33539.29019677601,910842.4156939755,TQQQ 50% profit exit
2026-07-14,BUY,QQQ,720.219970703125,3531.047132928309,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2026-08-10,SELL,QQQ,722.3900146484375,3531.047132928309,7662.527451423928,"TQQQ entry: Confirmed Up, RT <= 1.40"
2026-08-10,BUY,TQQQ,74.2699966430664,34344.86744814654,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2026-08-19,SELL,TQQQ,73.37000274658203,34344.86744814654,-30910.171078896616,TQQQ Confirmed-Down proxy exit
