date,equity,ending_balance,tax_withdrawal,cumulative_tax_withdrawal,holding,branch,cash,shares
2024-04-19,108281.04055238623,108281.04055238623,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-22,111255.87249589819,111255.87249589819,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-23,115945.37285829443,115945.37285829443,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-24,117019.62198091406,117019.62198091406,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-25,115242.9847815122,115242.9847815122,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-26,120263.01217485327,120263.01217485327,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-29,121626.48655534643,121626.48655534643,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-30,115015.73636461157,115015.73636461157,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-01,112660.65670991797,112660.65670991797,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-02,116606.44304109472,116606.44304109472,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-03,123196.55040574927,123196.55040574927,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-06,127039.01782060522,127039.01782060522,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-07,127039.01782060522,127039.01782060522,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-08,126811.78552461523,126811.78552461523,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-09,127472.87182832617,127472.87182832617,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-10,128299.19746614355,128299.19746614355,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-13,129104.90445924658,129104.90445924658,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-14,131397.99921251196,131397.99921251196,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-15,137182.4076445188,137182.4076445188,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-16,136376.7167723264,136376.7167723264,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-17,136087.48345399756,136087.48345399756,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-20,138773.0982000913,138773.0982000913,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-21,139454.82732988257,139454.82732988257,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-22,139372.20766282934,139372.20766282934,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-23,137388.98905397314,137388.98905397314,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-24,141066.21713472265,141066.21713472265,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-28,142532.97818971533,142532.97818971533,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-29,139682.09992814917,139682.09992814917,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-30,135385.09537721533,135385.09537721533,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-05-31,135240.48274827856,135240.48274827856,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-03,136500.64627290625,136500.64627290625,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-04,137471.6167814817,137471.6167814817,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-05,145404.4992773618,145404.4992773618,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-06,145239.276064166,145239.276064166,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-07,144722.77820802588,144722.77820802588,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-10,146189.5231421079,146189.5231421079,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-11,149081.74347902197,149081.74347902197,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-12,154721.53122163672,154721.53122163672,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-06-13,158215.0952075817,158215.0952075817,0.0,64594.819224547166,UVXY,bull_overbought,7946.799095521157,1274
2024-06-14,164839.90103949088,164839.90103949088,0.0,64594.819224547166,UVXY,bull_overbought,7946.799095521157,1274
2024-06-17,163438.5029834606,163438.5029834606,0.0,64594.819224547166,UVXY,bull_overbought,7946.799095521157,1274
2024-06-18,162546.69715155143,162546.69715155143,0.0,64594.819224547166,UVXY,bull_overbought,7946.799095521157,1274
2024-06-20,170063.29909552116,170063.29909552116,0.0,64594.819224547166,UVXY,bull_overbought,7946.799095521157,1274
2024-06-21,170278.504478958,170278.504478958,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-06-24,164801.51428272997,164801.51428272997,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-06-25,170017.67442372118,170017.67442372118,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-06-26,171027.8206029204,171027.8206029204,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-06-27,172205.97396900927,172205.97396900927,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-06-28,169631.52586415087,169631.52586415087,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-07-01,172271.42316487108,172271.42316487108,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-07-02,177289.33618214403,177289.33618214403,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-07-03,181434.61586811816,181434.61586811816,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-07-05,186670.70417835985,186670.70417835985,0.0,64594.819224547166,TQQQ,bull_trend,8577.234825637686,4446
2024-07-08,185985.1148533562,185985.1148533562,0.0,64594.819224547166,UVXY,bull_overbought,9434.667351219978,1637
2024-07-09,185985.1148533562,185985.1148533562,0.0,64594.819224547166,UVXY,bull_overbought,9434.667351219978,1637
2024-07-10,185330.31235549244,185330.31235549244,0.0,64594.819224547166,UVXY,bull_overbought,9434.667351219978,1637
2024-07-11,186148.81235549244,186148.81235549244,0.0,64594.819224547166,UVXY,bull_overbought,9434.667351219978,1637
2024-07-12,184256.09943518147,184256.09943518147,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-15,185559.19498571858,185559.19498571858,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-16,185689.5551923226,185689.5551923226,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-17,170160.44834265218,170160.44834265218,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-18,167749.62027105794,167749.62027105794,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-19,163449.2529996346,163449.2529996346,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-22,170182.16097387776,170182.16097387776,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-23,168444.66084417806,168444.66084417806,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-24,151264.88750586018,151264.88750586018,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-25,146530.14942297444,146530.14942297444,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-26,150461.2922185372,150461.2922185372,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-29,151286.63390478597,151286.63390478597,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-30,145487.6307729195,145487.6307729195,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-07-31,157411.38559851155,157411.38559851155,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-01,146725.62219748006,146725.62219748006,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-02,136691.4403394173,136691.4403394173,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-05,125571.28080114827,125571.28080114827,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-06,128481.63446173177,128481.63446173177,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-07,124637.37595877156,124637.37595877156,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-08,135214.52555212483,135214.52555212483,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-09,136930.32993444905,136930.32993444905,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-12,137799.096883149,137799.096883149,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-13,147160.00989279256,147160.00989279256,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-14,147398.90792974934,147398.90792974934,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-15,157802.2973798226,157802.2973798226,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-16,158193.25981268391,158193.25981268391,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-19,163970.52498754964,163970.52498754964,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-20,163014.8990720223,163014.8990720223,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-21,165121.61523565755,165121.61523565755,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-22,157628.5287946175,157628.5287946175,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-23,162298.1627515267,162298.1627515267,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-26,157802.2973798226,157802.2973798226,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-27,159062.03520330891,159062.03520330891,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
