date,qqq_close,cash,qqq_shares,open_spreads,equity
2016-06-13,108.03,11885.799999999876,0,5,14153.799999999876
2016-06-14,108.03,11885.799999999876,0,5,13829.799999999876
2016-06-15,107.72,11885.799999999876,0,5,13127.799999999876
2016-06-16,108.04,11885.799999999876,0,5,13055.799999999876
2016-06-17,106.49,11066.799999999877,0,2,12020.799999999877
2016-06-20,107.16,11066.799999999877,0,2,12038.799999999877
2016-06-21,107.5,11066.799999999877,0,2,12236.799999999877
2016-06-22,107.24,11066.799999999877,0,2,12416.799999999877
2016-06-23,108.77,11066.799999999877,0,2,12920.799999999877
2016-06-24,104.29,10011.999999999878,0,2,11055.999999999878
2016-06-27,102.22,10011.999999999878,0,2,10335.999999999878
2016-06-28,104.46,10011.999999999878,0,2,10677.999999999878
2016-06-29,106.31,10011.999999999878,0,2,11415.999999999878
2016-06-30,107.54,10011.999999999878,0,2,11991.999999999878
2016-07-01,108.08,9142.599999999878,0,3,12166.599999999878
2016-07-05,107.42,9142.599999999878,0,3,11356.599999999878
2016-07-06,108.3,9142.599999999878,0,3,12202.599999999878
2016-07-07,108.62,9142.599999999878,0,3,12508.599999999878
2016-07-08,110.3,8417.199999999879,0,4,14375.199999999879
2016-07-11,110.93,8417.199999999879,0,4,16049.199999999879
2016-07-12,111.49,8417.199999999879,0,4,16967.19999999988
2016-07-13,111.22,8417.199999999879,0,4,16481.19999999988
2016-07-14,111.98,8417.199999999879,0,4,17975.19999999988
2016-07-15,111.8,7727.799999999879,0,5,17357.79999999988
2016-07-18,112.54,7727.799999999879,0,5,18995.79999999988
2016-07-19,112.13,7727.799999999879,0,5,18527.79999999988
2016-07-20,113.44,7727.799999999879,0,5,21821.79999999988
2016-07-21,113.18,7727.799999999879,0,5,21785.79999999988
2016-07-22,113.65,11514.999999999878,0,5,22962.999999999876
2016-07-25,113.66,11514.999999999878,0,5,22800.999999999876
2016-07-26,113.79,11514.999999999878,0,5,23106.999999999876
2016-07-27,114.58,11514.999999999878,0,5,23970.999999999876
2016-07-28,114.98,11514.999999999878,0,5,24942.999999999876
2016-07-29,115.23,15356.199999999879,0,5,26012.19999999988
2016-08-01,115.84,15356.199999999879,0,5,27056.19999999988
2016-08-02,114.96,15356.199999999879,0,5,25382.19999999988
2016-08-03,115.34,15356.199999999879,0,5,26012.19999999988
2016-08-04,115.67,15356.199999999879,0,5,26912.19999999988
2016-08-05,116.78,22791.999999999876,0,4,28785.999999999876
2016-08-08,116.65,22791.999999999876,0,4,28389.999999999876
2016-08-09,116.92,22791.999999999876,0,4,29109.999999999876
2016-08-10,116.62,22791.999999999876,0,4,28551.999999999876
