date,spy_price,long_strike,short_strike,debit,pnl,roi,win
2020-05-04,263.66,250,272,14.12,23.88,1.69,true
2020-05-05,266.09,253,274,13.57,19.83,1.46,true
2020-05-08,271.9,258,280,14.07,16.08,1.14,true
2020-05-11,271.96,258,280,14.08,13.09,0.93,true
2020-05-12,266.54,253,275,14.05,11.69,0.83,true
2020-05-15,266.18,253,274,13.54,16.02,1.18,true
2020-05-18,274.28,261,283,13.96,14.81,1.06,true
2020-05-22,274.69,261,283,14.04,19.07,1.36,true
2020-05-26,278.08,264,286,14.17,16.51,1.17,true
2020-05-29,282.95,269,291,14.16,9.27,0.65,true
2020-06-01,284.09,270,293,14.59,13.21,0.91,true
2020-06-02,286.45,272,295,14.68,11.98,0.82,true
2020-06-05,296.92,282,306,15.2,4.25,0.28,true
2020-06-08,300.5,285,310,15.79,0.08,0.01,true
2020-06-09,298.26,283,307,15.37,0.77,0.05,true
2020-06-12,282.85,269,291,14.34,17.06,1.19,true
2020-06-15,285.49,271,294,14.84,15.23,1.03,true
2020-06-16,290.98,276,300,15.37,12.27,0.8,true
2020-06-19,288.23,274,297,14.83,16.74,1.13,true
2020-06-22,290.08,276,299,14.71,19.71,1.34,true
2020-06-23,291.41,277,300,14.8,18.85,1.27,true
2020-06-26,280.21,266,289,14.74,30.65,2.08,true
2020-06-29,284.33,270,293,14.74,27.81,1.89,true
2020-06-30,287.97,274,297,14.63,23.97,1.64,true
2020-07-06,296.08,281,305,15.31,17.7,1.16,true
2020-07-07,293.03,278,302,15.3,21.78,1.42,true
2020-07-10,296.59,282,305,14.8,21.46,1.45,true
2020-07-13,294.02,279,303,15.36,28.95,1.88,true
2020-07-14,297.83,283,307,15.29,27.1,1.77,true
2020-07-17,300.44,285,309,15.4,23.77,1.54,true
2020-07-20,302.87,288,312,15.23,17.34,1.14,true
2020-07-21,303.52,288,313,15.79,14.21,0.9,true
2020-07-27,301.85,287,311,15.22,7.94,0.52,true
2020-07-28,299.93,285,309,15.25,9.99,0.66,true
2020-07-31,304.93,290,314,15.26,9.1,0.6,true
2020-08-03,307.05,292,316,15.31,4.9,0.32,true
2020-08-04,308.23,293,317,15.36,0.68,0.04,true
2020-08-07,312.45,297,322,15.79,-6.02,-0.38,false
2020-08-10,313.38,298,323,15.77,-8.99,-0.57,false
2020-08-11,310.79,295,320,15.91,-2.98,-0.19,false
2020-08-14,314.57,299,324,15.84,-2.26,-0.14,false
2020-08-17,315.56,300,325,15.84,-0.92,-0.06,false
2020-08-18,316.25,300,326,16.43,-4.03,-0.25,false
2020-08-21,317.03,301,327,16.36,0.09,0.01,true
2020-08-24,320.24,304,330,16.45,0.69,0.04,true
2020-08-25,321.36,305,331,16.49,2.31,0.14,true
2020-08-28,327.4,311,337,16.55,1.72,0.1,true
2020-08-31,326.21,310,336,16.53,-0.85,-0.05,false
2020-09-01,329.28,313,339,16.58,-3.43,-0.21,false
2020-09-04,319.92,304,330,16.52,0.52,0.03,true
2020-09-08,311.18,296,321,15.91,11.08,0.7,true
2020-09-11,311.97,296,321,16.01,5.05,0.32,true
2020-09-14,316.08,300,326,16.42,-5.98,-0.36,false
2020-09-15,317.67,302,327,15.94,-9.0,-0.56,false
2020-09-18,310.02,295,319,15.34,-0.99,-0.06,false
2020-09-21,306.57,291,316,15.89,19.57,1.23,true
2020-09-22,309.69,294,319,15.92,16.52,1.04,true
2020-09-25,308.22,293,317,15.4,22.05,1.43,true
2020-09-28,313.34,298,323,15.83,15.49,0.98,true
2020-09-29,311.63,296,321,15.9,21.87,1.38,true
2020-10-02,313.01,297,322,16.05,24.9,1.55,true
2020-10-05,318.56,303,328,15.97,14.78,0.93,true
2020-10-06,314.03,298,323,16.09,17.31,1.08,true
2020-10-09,325.21,309,335,16.5,8.11,0.49,true
2020-10-13,328.29,312,338,16.56,10.81,0.65,true
2020-10-16,325.62,309,335,16.67,12.19,0.73,true
2020-10-19,320.67,305,330,16.04,20.92,1.3,true
2020-10-20,321.96,306,332,16.5,22.39,1.36,true
2020-10-23,324.21,308,334,16.55,19.63,1.19,true
2020-10-26,318.22,302,328,16.62,23.43,1.41,true
2020-10-27,317.12,301,327,16.61,24.05,1.45,true
2020-10-30,306.17,291,315,15.67,33.38,2.13,true
2020-11-02,309.6,294,319,16.16,36.91,2.28,true
2020-11-03,315.06,299,325,16.65,30.11,1.81,true
2020-11-06,328.31,312,338,16.55,15.94,0.96,true
2020-11-09,332.44,316,342,16.64,13.09,0.79,true
2020-11-13,335.76,319,346,17.06,12.52,0.73,true
2020-11-16,339.95,323,350,17.14,10.11,0.59,true
2020-11-20,333.16,317,343,16.51,11.95,0.72,true
2020-11-23,335.16,318,345,17.19,19.76,1.15,true
2020-11-24,340.56,324,351,17.0,16.02,0.94,true
2020-11-27,340.98,324,351,17.15,13.47,0.79,true
2020-11-30,339.47,322,350,17.65,14.71,0.83,true
2020-12-01,343.18,326,353,17.23,8.7,0.5,true
2020-12-07,346.06,329,356,17.21,13.66,0.79,true
2020-12-08,347.07,330,357,17.21,11.41,0.66,true
2020-12-11,343.45,326,354,17.68,16.33,0.92,true
2020-12-14,341.91,325,352,17.17,11.71,0.68,true
