date,qqq_close,cash,qqq_shares,open_spreads,equity
2014-01-28,85.85,27926.29999999997,0,1,28025.29999999997
2014-01-29,84.93,27959.59999999997,0,0,27959.59999999997
2014-01-30,86.5,27959.59999999997,0,0,27959.59999999997
2014-01-31,86.27,27587.89999999997,0,1,27848.89999999997
2014-02-03,84.29,27587.89999999997,0,1,27695.89999999997
2014-02-04,84.91,27587.89999999997,0,1,27722.89999999997
2014-02-05,84.69,27587.89999999997,0,1,27713.89999999997
2014-02-06,85.77,27587.89999999997,0,1,27767.89999999997
2014-02-07,87.3,27333.199999999968,0,2,27828.199999999968
2014-02-10,87.8,27333.199999999968,0,2,27900.199999999968
2014-02-11,88.8,27333.199999999968,0,2,28197.199999999968
2014-02-12,88.97,27333.199999999968,0,2,28278.199999999968
2014-02-13,89.63,27333.199999999968,0,2,28575.199999999968
2014-02-14,89.81,27333.199999999968,0,2,28593.199999999968
2014-02-18,90.25,27333.199999999968,0,2,28836.199999999968
2014-02-19,89.63,27333.199999999968,0,2,28521.199999999968
2014-02-20,90.05,27333.199999999968,0,2,28737.199999999968
2014-02-21,89.93,27333.199999999968,0,2,28629.199999999968
2014-02-24,90.41,27333.199999999968,0,2,28899.199999999968
2014-02-25,90.31,27333.199999999968,0,2,28800.199999999968
2014-02-26,90.23,27333.199999999968,0,2,28710.199999999968
2014-02-27,90.44,27333.199999999968,0,2,27981.199999999968
2014-02-28,90.34,27333.199999999968,0,2,27981.199999999968
2014-03-03,89.67,27333.199999999968,0,2,27981.199999999968
2014-03-04,90.81,27333.199999999968,0,2,27981.199999999968
2014-03-05,91.06,27333.199999999968,0,2,27981.199999999968
2014-03-06,90.98,27753.499999999967,0,1,27879.499999999967
2014-03-07,90.53,27435.799999999967,0,2,27912.799999999967
2014-03-10,90.61,27435.799999999967,0,2,27948.799999999967
2014-03-11,90.22,27435.799999999967,0,2,27948.799999999967
2014-03-12,90.56,27424.099999999966,0,1,27640.099999999966
2014-03-13,89.28,27424.099999999966,0,1,27532.099999999966
2014-03-14,88.67,27097.399999999965,0,2,27430.399999999965
2014-03-17,89.45,27097.399999999965,0,2,27520.399999999965
2014-03-18,90.53,27097.399999999965,0,2,27763.399999999965
2014-03-19,90.04,27097.399999999965,0,2,27547.399999999965
2014-03-20,90.29,27097.399999999965,0,2,27601.399999999965
2014-03-21,89.0,26767.999999999964,0,2,27217.999999999964
2014-03-24,88.22,26767.999999999964,0,2,27010.999999999964
2014-03-25,88.51,26767.999999999964,0,2,27037.999999999964
2014-03-26,87.37,26767.999999999964,0,2,26902.999999999964
2014-03-27,86.879,26801.299999999963,0,1,26864.299999999963
2014-03-28,87.05,26489.89999999996,0,1,26750.89999999996
2014-03-31,87.67,26489.89999999996,0,1,26804.89999999996
2014-04-01,89.21,26489.89999999996,0,1,27083.89999999996
2014-04-02,89.44,26489.89999999996,0,1,27128.89999999996
2014-04-03,88.73,26489.89999999996,0,1,26975.89999999996
2014-04-04,86.37,26109.19999999996,0,2,26496.19999999996
2014-04-07,85.55,26109.19999999996,0,2,26370.19999999996
2014-04-08,86.34,26109.19999999996,0,2,26478.19999999996
2014-04-09,87.82,26109.19999999996,0,2,26784.19999999996
2014-04-10,85.1,26109.19999999996,0,2,26289.19999999996
2014-04-11,84.11,25707.79999999996,0,2,26166.79999999996
2014-04-14,84.77,25707.79999999996,0,2,26247.79999999996
2014-04-15,85.0501,25707.79999999996,0,2,26328.79999999996
2014-04-16,86.18,25707.79999999996,0,2,26427.79999999996
2014-04-17,86.2,25707.79999999996,0,2,26454.79999999996
2014-04-21,86.84,25707.79999999996,0,2,26589.79999999996
2014-04-22,87.53,25707.79999999996,0,2,26760.79999999996
2014-04-23,86.76,25732.09999999996,0,1,26371.09999999996
2014-04-24,87.59,25732.09999999996,0,1,26587.09999999996
2014-04-25,86.19,25360.399999999958,0,2,26143.399999999958
2014-04-28,86.47,25360.399999999958,0,2,26215.399999999958
2014-04-29,87.16,25360.399999999958,0,2,26431.399999999958
2014-04-30,87.39,25360.399999999958,0,2,26485.399999999958
2014-05-01,87.65,25360.399999999958,0,2,26575.399999999958
2014-05-02,87.49,24997.699999999957,0,3,26338.699999999957
2014-05-05,87.95,24997.699999999957,0,3,26527.699999999957
2014-05-06,86.81,24997.699999999957,0,3,25762.699999999957
2014-05-07,86.56,24997.699999999957,0,3,25600.699999999957
2014-05-08,86.48,24997.699999999957,0,3,25510.699999999957
2014-05-09,86.8,24697.999999999956,0,4,25399.999999999956
2014-05-12,88.23,24697.999999999956,0,4,26416.999999999956
2014-05-13,88.29,24697.999999999956,0,4,26281.999999999956
2014-05-14,87.83,24697.999999999956,0,4,25678.999999999956
2014-05-15,87.135,24731.299999999956,0,3,25172.299999999956
2014-05-16,87.71,24467.599999999955,0,4,25241.599999999955
2014-05-19,88.32,24467.599999999955,0,4,25511.599999999955
2014-05-20,88.0,24467.599999999955,0,4,25232.599999999955
2014-05-21,88.84,24467.599999999955,0,4,25763.599999999955
2014-05-22,89.23,24467.599999999955,0,4,26015.599999999955
2014-05-23,89.88,24230.899999999954,0,5,26561.899999999954
2014-05-27,91.001,24230.899999999954,0,5,28469.899999999954
2014-05-28,90.72,24230.899999999954,0,5,27911.899999999954
2014-05-29,91.3,25812.199999999953,0,4,29052.199999999953
2014-05-30,91.31,25494.499999999953,0,5,28905.499999999953
2014-06-02,91.22,25494.499999999953,0,5,28743.499999999953
2014-06-03,91.18,25494.499999999953,0,5,28653.499999999953
2014-06-04,91.52,25494.499999999953,0,5,29157.499999999953
2014-06-05,92.29,27012.799999999952,0,4,30423.799999999952
2014-06-06,92.82,28267.39999999995,0,4,30742.39999999995
2014-06-09,92.75,28267.39999999995,0,4,30742.39999999995
2014-06-10,92.91,29623.69999999995,0,3,30838.69999999995
2014-06-11,92.89,29623.69999999995,0,3,30766.69999999995
2014-06-12,92.05,29623.69999999995,0,3,30307.69999999995
2014-06-13,92.32,29395.99999999995,0,4,30349.99999999995
2014-06-16,92.4,29395.99999999995,0,4,30358.99999999995
2014-06-17,92.45,29395.99999999995,0,4,30295.99999999995
2014-06-18,92.97,29395.99999999995,0,4,30619.99999999995
2014-06-19,92.91,29395.99999999995,0,4,30385.99999999995
2014-06-20,92.77,29096.29999999995,0,5,30284.29999999995
2014-06-23,92.79,29120.599999999948,0,4,30182.599999999948
2014-06-24,92.7,29120.599999999948,0,4,30074.599999999948
2014-06-25,93.29,29120.599999999948,0,4,30686.599999999948
2014-06-26,93.34,29855.899999999947,0,3,30647.899999999947
2014-06-27,93.75,29574.199999999946,0,4,30798.199999999946
2014-06-30,93.91,29574.199999999946,0,4,31041.199999999946
2014-07-01,94.94,29574.199999999946,0,4,32463.199999999946
2014-07-02,95.1,30948.499999999945,0,3,32685.499999999945
2014-07-03,95.7,30948.499999999945,0,3,33234.49999999994
2014-07-07,95.41,30948.499999999945,0,3,32919.49999999994
2014-07-08,94.26,30948.499999999945,0,3,32073.499999999945
2014-07-09,94.96,30948.499999999945,0,3,32523.499999999945
2014-07-10,94.66,30948.499999999945,0,3,32298.499999999945
2014-07-11,95.27,30693.799999999945,0,4,32781.799999999945
2014-07-14,95.84,30693.799999999945,0,4,33402.799999999945
2014-07-15,95.51,30693.799999999945,0,4,33015.799999999945
2014-07-16,95.89,30693.799999999945,0,4,33429.799999999945
2014-07-17,94.619,30693.799999999945,0,4,31989.799999999945
2014-07-18,96.12,31300.399999999943,0,4,33496.39999999994
2014-07-21,96.0,31300.399999999943,0,4,33379.39999999994
2014-07-22,96.61,31300.399999999943,0,4,33838.39999999994
2014-07-23,97.227,32800.699999999946,0,3,34717.699999999946
2014-07-24,97.12,32800.699999999946,0,3,34618.699999999946
2014-07-25,96.74,32527.999999999945,0,4,34210.99999999994
2014-07-28,96.77,32527.999999999945,0,4,34210.99999999994
2014-07-29,96.6,32527.999999999945,0,4,33985.99999999994
2014-07-30,96.98,32527.999999999945,0,4,34390.99999999994
2014-07-31,95.02,32597.299999999945,0,3,32912.299999999945
2014-08-01,94.67,32288.599999999944,0,4,32720.599999999944
2014-08-04,95.32,32288.599999999944,0,4,32774.59999999995
2014-08-05,94.59,32352.49999999994,0,1,32550.49999999994
2014-08-06,94.52,32352.49999999994,0,1,32541.49999999994
2014-08-07,94.22,32352.49999999994,0,1,32523.49999999994
2014-08-08,94.9,31944.79999999994,0,2,32493.79999999994
2014-08-11,95.46,31944.79999999994,0,2,32538.79999999994
2014-08-12,95.42,31944.79999999994,0,2,32511.79999999994
2014-08-13,96.43,31944.79999999994,0,2,32781.799999999945
2014-08-14,96.93,31944.79999999994,0,2,32943.799999999945
2014-08-15,97.4,31944.79999999994,0,2,33195.799999999945
2014-08-18,98.15,31944.79999999994,0,2,33573.799999999945
2014-08-19,98.7,31944.79999999994,0,2,33897.799999999945
2014-08-20,98.7,31944.79999999994,0,2,33897.799999999945
2014-08-21,98.9,31944.79999999994,0,2,34014.799999999945
2014-08-22,99.05,31717.09999999994,0,3,34039.09999999994
2014-08-25,99.4,31717.09999999994,0,3,34300.09999999994
2014-08-26,99.5,31717.09999999994,0,3,34408.09999999994
2014-08-27,99.52,31717.09999999994,0,3,34417.09999999994
2014-08-28,99.41,31717.09999999994,0,3,34309.09999999994
2014-08-29,99.78,31417.39999999994,0,4,34576.399999999936
2014-09-02,100.07,31417.39999999994,0,4,34891.399999999936
2014-09-03,99.48,31417.39999999994,0,4,34288.399999999936
2014-09-04,99.39,32638.69999999994,0,3,34213.69999999994
2014-09-05,99.89,32383.999999999938,0,4,34489.99999999994
2014-09-08,100.08,32383.999999999938,0,4,34588.99999999994
2014-09-09,99.25,32383.999999999938,0,4,33922.99999999994
2014-09-10,100.07,32383.999999999938,0,4,34642.99999999994
2014-09-11,99.99,34127.29999999994,0,3,34631.29999999994
2014-09-12,99.48,33818.59999999994,0,4,34421.59999999994
2014-09-15,98.52,33818.59999999994,0,4,34142.59999999994
