date,strategy_sector_rotation,strategy_regime_risk_on_off,QQQ,SPY,risk_on
2019-09-11,2.0199643517853465,1.911130766057675,1.7438151336656065,1.4279259999048817,1
2019-09-12,2.0199643517853465,1.911130766057675,1.7510647938377857,1.4328720216864006,1
2019-09-13,2.0199643517853465,1.911130766057675,1.744811961939281,1.4319208636514928,1
2019-09-16,2.0199643517853465,1.911130766057675,1.7370185772541882,1.4274979787891733,1
2019-09-17,2.0199643517853465,1.911130766057675,1.7453556864521944,1.4311123793218214,1
2019-09-18,2.0199643517853465,1.911130766057675,1.7446307204349767,1.4319684215532384,1
2019-09-19,2.0199643517853465,1.911130766057675,1.747530584503848,1.4318733057497475,1
2019-09-20,2.0199643517853465,1.911130766057675,1.7290439510647906,1.4185570932610425,1
2019-09-23,2.0199643517853465,1.911130766057675,1.7263253285002231,1.4182241879488249,1
2019-09-24,2.0199643517853465,1.911130766057675,1.7033982782057058,1.4070956389404072,1
2019-09-25,2.0199643517853465,1.911130766057675,1.722519256909829,1.415418271745848,1
2019-09-26,2.0199643517853465,1.911130766057675,1.7161758042591717,1.4124696818376345,1
2019-09-27,2.0199643517853465,1.911130766057675,1.6948799275033946,1.4048604175583745,1
2019-09-30,2.0199643517853465,1.911130766057675,1.7110104213864938,1.411375850097491,1
2019-10-01,2.0199643517853465,1.911130766057675,1.6970548255550486,1.3945879107813737,1
2019-10-02,1.9497399758549938,1.799334323461937,1.6678749433620266,1.3699529176772693,1
2019-10-03,1.9857728783637696,1.8664121890193803,1.6861803352967795,1.3811765824891782,1
2019-10-04,2.0418872091897393,1.9582029524137765,1.7110104213864945,1.3998668378751102,1
2019-10-07,2.026723836335888,1.9334900545768232,1.7058450385138166,1.3938269843534474,1
2019-10-08,1.9637590861896381,1.8299312445934026,1.6802899864068839,1.372188139059302,1
2019-10-09,2.0021638706090865,1.9076003520809681,1.69669234254644,1.3852190041375347,1
2019-10-10,2.0301187344061153,1.9440812965069463,1.7098323516085152,1.394587910781374,1
2019-10-11,2.076836472359134,2.024104013312317,1.73185319438151,1.4090455129119677,1
2019-10-14,2.07660155753731,2.024104013312317,1.7316719528772055,1.4074761021543705,1
2019-10-15,2.122031052919037,2.090005074210858,1.7536927956502006,1.421410567365765,1
2019-10-16,2.1130739780998207,2.04881691114927,1.7493429995468928,1.419127788081987,1
2019-10-17,2.124168020007885,2.032341645924634,1.7539646579066577,1.42331288343558,1
2019-10-18,2.094576330355568,1.9723246083206063,1.7371091980063402,1.417082798306936,1
2019-10-21,2.127418938026027,2.039402473878049,1.7525147258722216,1.4266894944595019,1
2019-10-22,2.103359113532785,1.955849343095971,1.7385591300407761,1.422028820088455,1
2019-10-23,2.1125511031738258,1.9617333663904837,1.7419120978704095,1.4261663575403023,1
2019-10-24,2.1367852193090657,2.044109692513659,1.758858178522879,1.4284966947258257,1
2019-10-25,2.1621332863735985,2.115894776706712,1.7729043951064762,1.434346316640507,1
2019-10-28,2.1964384282573475,2.195917493512083,1.790394200271859,1.4424311599372206,1
2019-10-29,2.178175695334919,2.1359004559080543,1.7765292251925657,1.4420031388215122,1
2019-10-30,2.1931041533669458,2.177088618969642,1.7851381966470292,1.446426023683832,1
2019-10-31,2.1883603895456014,2.1712045956751296,1.7859537834163992,1.4425738336424567,1
2019-11-01,2.2301903836251897,2.247696898503793,1.8021748980516503,1.4559376040329068,1
2019-11-04,2.250572175723477,2.283001038270868,1.8133212505663763,1.4617872259475881,1
2019-11-05,2.249441325124886,2.273586600999648,1.814318078840051,1.4601702572882453,1
2019-11-06,2.2452680646764858,2.275940210317453,1.8102401449932,1.4605031626004632,1
2019-11-07,2.260641944236692,2.324189201332456,1.8163117353874,1.4656394159889634,1
2019-11-08,2.2757196252879863,2.363023755076239,1.8235613955595797,1.469253816521612,1
2019-11-11,2.2677948439899662,2.3677309737118497,1.8211146352514693,1.4664479003186348,1
2019-11-12,2.2775684139942696,2.3877366529131923,1.8263706388762995,1.4695391639320838,1
2019-11-13,2.2772094449404237,2.4077423321145353,1.8268237426370608,1.470014742949538,1
2019-11-14,2.280664767281132,2.398327894843315,1.825373810602625,1.47215484852808,1
2019-11-15,2.3112330418746216,2.454814518470636,1.8387856819211572,1.4828078185190439,1
2019-11-18,2.316716637448536,2.477173806989784,1.8402356139555929,1.4839016502591873,1
2019-11-19,2.318565426154819,2.492472267555516,1.8429542365201605,1.4834736291434791,1
2019-11-20,2.297348981966852,2.443046471881611,1.831898504757587,1.4779569125410157,1
2019-11-21,2.2875754119625498,2.4100959414323406,1.8278205709107358,1.475579017453747,1
2019-11-22,2.2938308890812094,2.40068150416112,1.8289986406887153,1.4788605126741778,1
2019-11-25,2.339063932235094,2.501886704826736,1.850657000453101,1.4903219669948131,1
2019-11-26,2.347823365622794,2.504240314144541,1.854191209787039,1.4936985780187346,1
2019-11-27,2.374164436330829,2.5477820865239336,1.8671499773448097,1.5003566842630873,1
2019-11-28,2.374164436330829,2.5477820865239336,1.8671499773448097,1.5003566842630873,1
2019-11-29,2.354141613286389,2.521892384028078,1.8586316266424987,1.4947924097588783,1
2019-12-02,2.3086123716235925,2.420687183362462,1.839601268690528,1.4820944499928634,1
2019-12-03,2.2753644377370916,2.358316536440629,1.8251925690983215,1.4721548485280802,1
2019-12-04,2.301469338550431,2.383029434277582,1.8344358858178502,1.4812384077614467,1
2019-12-05,2.3104059465814784,2.4065655274556317,1.8380607159039402,1.4839016502591877,1
2019-12-06,2.3540799231708687,2.4877650489199055,1.8577254191209764,1.4974556522566194,1
2019-12-09,2.3383527437065603,2.448930495176122,1.8492976891708177,1.4927474199838273,1
2019-12-10,2.3319146339132004,2.4512841044939275,1.8477571363842298,1.491082893422739,1
2019-12-11,2.3516297462870384,2.501886704826736,1.857544177616672,1.4953155466780772,1
2019-12-12,2.388817291729212,2.5819094216321075,1.8714091526959653,1.5082037380510738,1
2019-12-13,2.397625990294166,2.6348656312827203,1.877571363842318,1.509107338184236,1
2019-12-16,2.4373603553278844,2.7019434968401637,1.8964204802899844,1.5194749607647275,1
2019-12-17,2.438849789999726,2.6842914269566256,1.8975079293158112,1.5198078660769452,1
2019-12-18,2.440515455491518,2.6842914269566256,1.8989578613502474,1.5199029818804357,1
2019-12-19,2.4670211392986157,2.737247636607239,1.9108291798821908,1.52613306700908,1
2019-12-20,2.4894905688423274,2.780789408986632,1.9185319438151316,1.5253245826794088,1
2019-12-23,2.4972902038414357,2.8102095254591943,1.9194381513366539,1.5276549198649318,1
2019-12-24,2.4953203980635994,2.8125631347769997,1.9204349796103282,1.5277024777666772,1
2019-12-25,2.4953203980635994,2.8125631347769993,1.9204349796103282,1.5277024777666772,1
2019-12-26,2.5304585496157013,2.8714033677221247,1.9373810602627977,1.5358348789651364,1
2019-12-27,2.5271272186321174,2.8749337816988323,1.9357498867240577,1.5354544157511734,1
2019-12-30,2.495849090523451,2.8243311813660243,1.9230629814227436,1.5269891092404964,1
2019-12-31,2.5075883370782304,2.8455136652262696,1.926687811508833,1.530698625576636,1
2020-01-01,2.5075883370782304,2.8455136652262696,1.926687811508833,1.530698625576636,1
2020-01-02,2.5075883370782304,2.8455136652262696,1.958858178522879,1.5450135540019938,1
2020-01-03,2.4663469857183067,2.75519759669832,1.9409152695967349,1.5333143101726314,1
2020-01-06,2.489827414682013,2.7752678341489756,1.9534209333937445,1.5391639320873127,1
2020-01-07,2.482644218924758,2.7652327154236476,1.9531490711372879,1.5348361630284837,1
2020-01-08,2.514025582392402,2.8566637971433,1.9678296329859508,1.543016122128688,1
2020-01-09,2.5533078803639837,2.9525549316297655,1.9845038513819637,1.5534788605126704,1
2020-01-10,2.53909914244701,2.93248469417911,1.9794290892614381,1.5490084177486052,1
2020-01-13,2.5854069825783097,3.05179110569134,2.0022655188038034,1.559661387739569,1
2020-01-14,2.5719300892562185,2.9938104197227795,1.9943815133665581,1.5572834926523005,1
2020-01-15,2.5771542316251317,3.006075564831514,1.995197100135928,1.5608027773814581,1
2020-01-16,2.6219477674642997,3.128727015918853,2.014318078840051,1.5737860845579454,1
2020-01-17,2.6454281964280066,3.191167754654226,2.024286361576798,1.578684548437719,1
2020-01-20,2.6454281964280066,3.191167754654226,2.024286361576798,1.578684548437719,1
2020-01-21,2.637304887375964,3.1867077018874133,2.0233801540552756,1.5755932848242697,1
2020-01-22,2.645780012877247,3.221273110830209,2.028726778432258,1.575783516431251,1
2020-01-23,2.6555611739707574,3.2669886516900353,2.0352514725872193,1.5775907166975756,1
2020-01-24,2.608442662445807,3.2145830316799904,2.0181241504304457,1.56356113568269,1
2020-01-27,2.513645554246759,2.9882353537642654,1.9764386044404139,1.5384981214628772,1
2020-01-28,2.577348394476835,3.1543723193280235,2.006796556411415,1.5546202501545592,1
2020-01-29,2.5793721688157447,3.1744425567786796,2.0100589034888965,1.5533361868074345,1
2020-01-30,2.5961141511184063,3.263643612114927,2.017217942908924,1.5583773243924441,1
2020-01-31,2.5081849314815403,2.9926954065310776,1.9852288173991823,1.5300803728539463,1
2020-02-03,2.5639080104089103,3.108656778468198,2.015224286361575,1.5414467113710908,1
2020-02-04,2.662510422470551,3.358419733409689,2.0613502492070666,1.564940314833306,1
2020-02-05,2.702850375722866,3.4164004193782493,2.0681468056184844,1.5830123174965485,1
2020-02-06,2.734707689253233,3.504486461522793,2.085999093792476,1.5883388024920309,1
2020-02-07,2.7075244170193615,3.411940366611437,2.0770276393294043,1.5798734959813538,1
2020-02-10,2.761753692744536,3.545741949615807,2.1021295876755755,1.5916678556142068,1
2020-02-11,2.7657913431546293,3.511176540673011,2.102492070684184,1.5944262139154386,1
2020-02-12,2.8103659152790064,3.621562846651617,2.122972360670591,1.60469872069244,1
2020-02-13,2.80303219056512,3.594802530050744,2.120253738106024,1.6029866362296064,1
2020-02-14,2.81480643726492,3.64051807091057,2.126325328500224,1.6055547629238567,1
2020-02-17,2.81480643726492,3.64051807091057,2.126325328500224,1.6055547629238567,1
2020-02-18,2.808951397437691,3.6037226355843686,2.127140915269594,1.6014172254720087,1
2020-02-19,2.848815377416959,3.721914033904896,2.147530584503848,1.6090740476530139,1
2020-02-20,2.80874996164978,3.6104127147345872,2.1275940190303553,1.6024634993104068,1
2020-02-21,2.7265316705390914,3.366224825751611,2.0867240598096934,1.5859609074047618,1
2020-02-24,2.528246565779032,2.797791100621379,2.0062528318985016,1.5333618680743772,1
2020-02-25,2.4100735297843747,2.797791100621379,1.9516991391028515,1.486897798069146,1
2020-02-26,2.4100735297843747,2.797791100621379,1.9617580425917507,1.481428639368428,1
2020-02-27,2.4100735297843747,2.797791100621379,1.8635251472587195,1.4148951348266483,1
2020-02-28,2.4100735297843747,2.797791100621379,1.8649750792931554,1.4089503971084765,1
